epoch,beta,train_total,train_recon,train_kl,val_total,val_recon,val_kl,lr
171,0.001,0.05316,0.04609,7.06690,0.05738,0.05037,7.01181,1.25e-04
172,0.001,0.05320,0.04615,7.05748,0.05768,0.05067,7.01479,1.25e-04
173,0.001,0.05323,0.04619,7.04486,0.05737,0.05030,7.06870,1.25e-04
174,0.001,0.05297,0.04590,7.07073,0.05715,0.05017,6.98107,1.25e-04
175,0.001,0.05321,0.04615,7.05964,0.05724,0.05022,7.01921,1.25e-04
176,0.001,0.05323,0.04618,7.05308,0.05710,0.05008,7.01494,1.25e-04
177,0.001,0.05303,0.04597,7.06684,0.05718,0.05021,6.97626,6.25e-05
178,0.001,0.05245,0.04539,7.05966,0.05663,0.04958,7.05431,6.25e-05
179,0.001,0.05236,0.04529,7.07462,0.05659,0.04951,7.08268,6.25e-05
180,0.001,0.05221,0.04514,7.07162,0.05667,0.04958,7.08896,6.25e-05
181,0.001,0.05238,0.04530,7.08388,0.05676,0.04965,7.10598,6.25e-05
182,0.001,0.05227,0.04517,7.10047,0.05678,0.04966,7.12046,6.25e-05
183,0.001,0.05230,0.04520,7.09898,0.05666,0.04957,7.08856,6.25e-05
184,0.001,0.05236,0.04527,7.08942,0.05669,0.04963,7.06045,6.25e-05
185,0.001,0.05235,0.04527,7.08648,0.05683,0.04969,7.13926,6.25e-05
186,0.001,0.05218,0.04507,7.10878,0.05672,0.04963,7.09041,6.25e-05
187,0.001,0.05232,0.04522,7.09835,0.05673,0.04962,7.10439,6.25e-05
188,0.001,0.05214,0.04505,7.09287,0.05708,0.04995,7.13327,6.25e-05
189,0.001,0.05219,0.04510,7.09430,0.05685,0.04974,7.11378,6.25e-05
190,0.001,0.05218,0.04508,7.09608,0.05663,0.04953,7.09977,3.13e-05
191,0.001,0.05170,0.04460,7.10011,0.05648,0.04938,7.10126,3.13e-05
192,0.001,0.05195,0.04486,7.09246,0.05651,0.04941,7.10719,3.13e-05
193,0.001,0.05165,0.04453,7.12015,0.05647,0.04935,7.11529,3.13e-05
194,0.001,0.05192,0.04480,7.11798,0.05649,0.04940,7.09222,3.13e-05
195,0.001,0.05196,0.04485,7.10634,0.05636,0.04924,7.11865,3.13e-05
196,0.001,0.05168,0.04457,7.11666,0.05646,0.04934,7.12234,3.13e-05
197,0.001,0.05175,0.04462,7.13296,0.05634,0.04922,7.12923,3.13e-05
198,0.001,0.05188,0.04476,7.12266,0.05651,0.04941,7.10615,3.13e-05
199,0.001,0.05166,0.04455,7.11520,0.05640,0.04926,7.13793,3.13e-05
200,0.001,0.05163,0.04450,7.13330,0.05645,0.04933,7.12851,3.13e-05
